tick_num,received_at,instrument,ts,ts_ist,ltp,bid,ask,volume,oi,iv_pct,theta,strike,expiry
17471,2026-03-13 15:43:14.468,NSE_INDEX|Nifty 50,1773381394444,2026-03-13 11:26:34,23339.65,23316.31,23362.99,17471,0.0,0.0,0.0,,None
17472,2026-03-13 15:43:14.469,NSE_INDEX|Nifty 50,1773381394944,2026-03-13 11:26:34,23339.4,23316.06,23362.74,17472,0.0,0.0,0.0,,None
17473,2026-03-13 15:43:14.469,NSE_INDEX|Nifty 50,1773381395438,2026-03-13 11:26:35,23338.8,23315.46,23362.14,17473,0.0,0.0,0.0,,None
17474,2026-03-13 15:43:14.469,NSE_INDEX|Nifty 50,1773381395970,2026-03-13 11:26:35,23339.05,23315.71,23362.39,17474,0.0,0.0,0.0,,None
17475,2026-03-13 15:43:14.470,NSE_INDEX|Nifty 50,1773381396444,2026-03-13 11:26:36,23341.15,23317.81,23364.49,17475,0.0,0.0,0.0,,None
17476,2026-03-13 15:43:14.470,NSE_INDEX|Nifty 50,1773381396943,2026-03-13 11:26:36,23339.95,23316.61,23363.29,17476,0.0,0.0,0.0,,None
17477,2026-03-13 15:43:14.471,NSE_INDEX|Nifty 50,1773381397443,2026-03-13 11:26:37,23339.4,23316.06,23362.74,17477,0.0,0.0,0.0,,None
17478,2026-03-13 15:43:14.471,NSE_INDEX|Nifty 50,1773381397944,2026-03-13 11:26:37,23339.6,23316.26,23362.94,17478,0.0,0.0,0.0,,None
17479,2026-03-13 15:43:14.472,NSE_INDEX|Nifty 50,1773381398438,2026-03-13 11:26:38,23340.0,23316.66,23363.34,17479,0.0,0.0,0.0,,None
17480,2026-03-13 15:43:14.472,NSE_INDEX|Nifty 50,1773381398944,2026-03-13 11:26:38,23340.05,23316.71,23363.39,17480,0.0,0.0,0.0,,None
17481,2026-03-13 15:43:14.473,NSE_INDEX|Nifty 50,1773381399443,2026-03-13 11:26:39,23340.4,23317.06,23363.74,17481,0.0,0.0,0.0,,None
17482,2026-03-13 15:43:14.474,NSE_INDEX|Nifty 50,1773381399944,2026-03-13 11:26:39,23340.0,23316.66,23363.34,17482,0.0,0.0,0.0,,None
17483,2026-03-13 15:43:14.475,NSE_INDEX|Nifty 50,1773381400442,2026-03-13 11:26:40,23341.1,23317.76,23364.44,17483,0.0,0.0,0.0,,None
17484,2026-03-13 15:43:14.475,NSE_INDEX|Nifty 50,1773381400944,2026-03-13 11:26:40,23340.8,23317.46,23364.14,17484,0.0,0.0,0.0,,None
17485,2026-03-13 15:43:14.476,NSE_INDEX|Nifty 50,1773381401943,2026-03-13 11:26:41,23340.4,23317.06,23363.74,17485,0.0,0.0,0.0,,None
17486,2026-03-13 15:43:14.476,NSE_INDEX|Nifty 50,1773381402443,2026-03-13 11:26:42,23340.7,23317.36,23364.04,17486,0.0,0.0,0.0,,None
17487,2026-03-13 15:43:14.476,NSE_INDEX|Nifty 50,1773381402943,2026-03-13 11:26:42,23341.35,23318.01,23364.69,17487,0.0,0.0,0.0,,None
17488,2026-03-13 15:43:14.477,NSE_INDEX|Nifty 50,1773381403443,2026-03-13 11:26:43,23342.15,23318.81,23365.49,17488,0.0,0.0,0.0,,None
17489,2026-03-13 15:43:14.477,NSE_INDEX|Nifty 50,1773381403961,2026-03-13 11:26:43,23343.25,23319.91,23366.59,17489,0.0,0.0,0.0,,None
17490,2026-03-13 15:43:14.478,NSE_INDEX|Nifty 50,1773381404440,2026-03-13 11:26:44,23342.4,23319.06,23365.74,17490,0.0,0.0,0.0,,None
17491,2026-03-13 15:43:14.478,NSE_INDEX|Nifty 50,1773381404944,2026-03-13 11:26:44,23341.9,23318.56,23365.24,17491,0.0,0.0,0.0,,None
17492,2026-03-13 15:43:14.479,NSE_INDEX|Nifty 50,1773381405444,2026-03-13 11:26:45,23342.7,23319.36,23366.04,17492,0.0,0.0,0.0,,None
17493,2026-03-13 15:43:14.479,NSE_INDEX|Nifty 50,1773381405951,2026-03-13 11:26:45,23342.6,23319.26,23365.94,17493,0.0,0.0,0.0,,None
17494,2026-03-13 15:43:14.480,NSE_INDEX|Nifty 50,1773381406442,2026-03-13 11:26:46,23343.3,23319.96,23366.64,17494,0.0,0.0,0.0,,None
17495,2026-03-13 15:43:14.480,NSE_INDEX|Nifty 50,1773381406944,2026-03-13 11:26:46,23344.45,23321.11,23367.79,17495,0.0,0.0,0.0,,None
17496,2026-03-13 15:43:14.480,NSE_INDEX|Nifty 50,1773381407443,2026-03-13 11:26:47,23344.2,23320.86,23367.54,17496,0.0,0.0,0.0,,None
17497,2026-03-13 15:43:14.481,NSE_INDEX|Nifty 50,1773381407939,2026-03-13 11:26:47,23344.25,23320.91,23367.59,17497,0.0,0.0,0.0,,None
17498,2026-03-13 15:43:14.481,NSE_INDEX|Nifty 50,1773381408443,2026-03-13 11:26:48,23344.4,23321.06,23367.74,17498,0.0,0.0,0.0,,None
17499,2026-03-13 15:43:14.482,NSE_INDEX|Nifty 50,1773381408939,2026-03-13 11:26:48,23344.1,23320.76,23367.44,17499,0.0,0.0,0.0,,None
17500,2026-03-13 15:43:14.482,NSE_INDEX|Nifty 50,1773381409455,2026-03-13 11:26:49,23345.9,23322.55,23369.25,17500,0.0,0.0,0.0,,None
17501,2026-03-13 15:43:14.483,NSE_INDEX|Nifty 50,1773381411937,2026-03-13 11:26:51,23345.7,23322.35,23369.05,17501,0.0,0.0,0.0,,None
17502,2026-03-13 15:43:14.483,NSE_INDEX|Nifty 50,1773381412447,2026-03-13 11:26:52,23345.9,23322.55,23369.25,17502,0.0,0.0,0.0,,None
17503,2026-03-13 15:43:14.484,NSE_INDEX|Nifty 50,1773381412964,2026-03-13 11:26:52,23345.85,23322.5,23369.2,17503,0.0,0.0,0.0,,None
17504,2026-03-13 15:43:14.484,NSE_INDEX|Nifty 50,1773381413443,2026-03-13 11:26:53,23346.3,23322.95,23369.65,17504,0.0,0.0,0.0,,None
17505,2026-03-13 15:43:14.484,NSE_INDEX|Nifty 50,1773381414444,2026-03-13 11:26:54,23346.5,23323.15,23369.85,17505,0.0,0.0,0.0,,None
17506,2026-03-13 15:43:14.485,NSE_INDEX|Nifty 50,1773381415947,2026-03-13 11:26:55,23349.2,23325.85,23372.55,17506,0.0,0.0,0.0,,None
17507,2026-03-13 15:43:14.485,NSE_INDEX|Nifty 50,1773381417439,2026-03-13 11:26:57,23347.75,23324.4,23371.1,17507,0.0,0.0,0.0,,None
17508,2026-03-13 15:43:14.486,NSE_INDEX|Nifty 50,1773381417943,2026-03-13 11:26:57,23347.8,23324.45,23371.15,17508,0.0,0.0,0.0,,None
